departementFabrication,nom,urlWikipedia,lait,image,typePate,vinAssocie
Haute-Loire,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,Vache,Bleu_de_Gex.jpg,persilée,vin blanc moelleux
Charente-Maritime,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,Vache,Bleu_de_Gex.jpg,persilée,vin blanc moelleux
Charente-Maritime,Bleu de Laqueuille,http://fr.wikipedia.org/wiki/Bleu_de_Laqueuille,Vache,Bleu_de_Laqueuille.jpg,persilée,vin blanc moelleux
Côte-d'Or,Bleu de Lavaldens,http://fr.wikipedia.org/wiki/Bleu_de_Lavaldens,Vache,Bleu_de_Lavaldens.png,persilée,vin blanc moelleux
Eure,Bleu de Loudes,http://fr.wikipedia.org/wiki/Bleu_de_Loudes,Vache,Bleu_de_Loudes.png,persilée,vin blanc moelleux
Isère,Bleu de Sainte-Foy,http://fr.wikipedia.org/wiki/Bleu_de_Sainte-Foy,Vache,Bleu_de_Sainte_Foy.jpg,persilée,vin blanc moelleux
Nord,Bleu de Termignon,http://fr.wikipedia.org/wiki/Bleu_de_Termignon,Vache,Bleu_de_Termignon.JPG,persilée,vin blanc moelleux
Pas-de-Calais,Bleu de Thiézac,http://fr.wikipedia.org/wiki/Bleu_de_Thi%C3%A9zac,Vache,Bleu_de_Thiezac.jpg,persilée,vin blanc moelleux
Pas-de-Calais,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,Vache,Bleu_des_Causses.jpg,persilée,vin blanc moelleux
Sarthe,Bleu des Causses,http://fr.wikipedia.org/wiki/Bleu_des_Causses,Vache,Bleu_des_Causses.jpg,persilée,vin blanc moelleux
Eure,Bleu du Dévoluy,http://fr.wikipedia.org/wiki/Bleu_du_D%C3%A9voluy,Vache,Bleu_du_Devoluy.png,persilée,vin blanc moelleux
Territoire de Belfort,Bleu du Mont-Cenis,http://fr.wikipedia.org/wiki/Bleu_du_Mont-Cenis,Vache,Bleu_du_MontCenis.JPG,persilée,vin blanc moelleux
Dordogne,Bleu du Quercy,http://fr.wikipedia.org/wiki/Bleu_du_Quercy,Vache,Bleu_de_Quercy.png,persilée,vin blanc moelleux
Cantal,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,Vache,Bleu_du_VercorsSassenage.jpg,persilée,vin blanc moelleux
Haute-Saône,Bleu du Vercors-Sassenage,http://fr.wikipedia.org/wiki/Bleu_du_Vercors-Sassenage,Vache,Bleu_du_VercorsSassenage.jpg,persilée,vin blanc moelleux
Maine-et-Loire,Bons Mayennais,http://fr.wikipedia.org/wiki/Bons_Mayennais,Vache,Bons_Mayennais.jpg,molle croute fleurie,vin rouge léger
Seine-Maritime,Bouille,http://fr.wikipedia.org/wiki/Bouille_%28fromage%29,Vache,Bouille.jpg,molle croute fleurie,vin rouge léger
Saône-et-Loire,Boule des moines,http://fr.wikipedia.org/wiki/Boule_des_moines,Vache,Boule_des_Moines.jpg,fraiche,vin blanc sec
Côte-d'Or,Boulet de Cassel,http://fr.wikipedia.org/wiki/Boulet_de_Cassel,Vache,Boulet_de_Cassel.jpg,préssée non cuite,vin rouge charnu
Vosges,Boulette d'Avesnes,http://fr.wikipedia.org/wiki/Boulette_d%27Avesnes,Vache,Boulette_dAvesnes.jpg,molle croute lavée,vin blanc moelleux
Ardèche,Boulette de la Pierre-qui-Vire,http://fr.wikipedia.org/wiki/Boulette_de_la_Pierre-qui-Vire,Vache,Boulette_de_la_PierreQuiVire.jpg,molle croute naturelle,vin rouge léger
Landes,Bouton de Culotte,http://fr.wikipedia.org/wiki/Bouton_de_Culotte,Chèvre,Bouton_de_Culotte.jpg,molle croute fleurie,vin rouge léger
Lozère,Bresse Bleu,http://fr.wikipedia.org/wiki/Bresse_Bleu,Vache,Bresse_Bleu.jpg,persilée,vin blanc moelleux
Saône-et-Loire,Brézain,http://fr.wikipedia.org/wiki/Br%C3%A9zain,Vache,Brezain.jpg,pressée non cuite,vin rouge charnu
Loiret,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Vache,Brie_de_Meaux.jpg,molle croute fleurie,vin rouge léger
Puy-de-Dôme,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Vache,Brie_de_Meaux.jpg,molle croute fleurie,vin rouge léger
Ain,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Vache,Brie_de_Meaux.jpg,molle croute fleurie,vin rouge léger
Jura,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Vache,Brie_de_Meaux.jpg,molle croute fleurie,vin rouge léger
Ain,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,Vache,Brie_de_Melun.jpg,molle croute fleurie,vin rouge léger
Savoie,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,Vache,Brie_de_Melun.jpg,molle croute fleurie,vin rouge léger
Aube,Brie de Melun,http://fr.wikipedia.org/wiki/Brie_de_Melun,Vache,Brie_de_Melun.jpg,molle croute fleurie,vin rouge léger
Puy-de-Dôme,Brie de Montereau,http://fr.wikipedia.org/wiki/Brie_de_Montereau,Vache,Brie_de_Montereau.jpg,molle,vin blanc équilibré
Aveyron,Brie de Nangis,http://fr.wikipedia.org/wiki/Brie_de_Nangis,Vache,Brie_de_Nangis.jpg,molle croute fleurie,vin rouge léger
Allier,Brin d'amour,http://fr.wikipedia.org/wiki/Brin_d%27amour,Brebis,Brin_dAmour.jpg,molle croute lavée,vin blanc moelleux
Calvados,Briquette de l'Ecaillon,http://fr.wikipedia.org/wiki/Briquette_de_l%27Ecaillon,Chèvre,Briquette_de_lEcaillon.jpg,molle,vin blanc équilibré
Manche,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,Chèvre,Cabecou.jpg,molle croute fleurie,vin rouge léger
Réunion,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,Chèvre,Cabecou.jpg,molle croute fleurie,vin rouge léger
Seine-et-Marne,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,Chèvre,Cabecou.jpg,molle croute fleurie,vin rouge léger
Cantal,Caillé,http://fr.wikipedia.org/wiki/Caill%C3%A9,Vache,Caille.JPG,fraiche,vin blanc sec
Saône-et-Loire,Caillebotte,http://fr.wikipedia.org/wiki/Caillebotte_%28fromage%29,Vache,Caillebotte.jpg,caillé,vin rouge
Rhône,Cantal,http://fr.wikipedia.org/wiki/Cantal_%28fromage%29,Vache,Cantal.jpg,préssée non cuite,vin rouge charnu
Haute-Corse,Cap Noir,http://fr.wikipedia.org/wiki/Cap_Noir_%28fromage%29,Vache,Cap_Noir.JPG,préssée non cuite,vin rouge charnu
Nord,Caprice des Dieux,http://fr.wikipedia.org/wiki/Caprice_des_Dieux,Vache,Caprice_des_Dieux.JPG,molle croute fleurie,vin rouge léger
Réunion,Carré d'Aurillac,http://fr.wikipedia.org/wiki/Carr%C3%A9_d%27Aurillac,Vache,Carre_dAurillac.JPG,persilée,vin blanc moelleux
Vienne,Carré de Bonneville,http://fr.wikipedia.org/wiki/Carr%C3%A9_de_Bonneville,Vache,Carre_de_Bonneville.jpg,persilée,vin blanc moelleux
Lozère,Carré du Vinage,http://fr.wikipedia.org/wiki/Carr%C3%A9_du_Vinage,Vache,Carre_de_Vinage.jpg,persilée,vin blanc moelleux
Pas-de-Calais,Carré Frais,http://fr.wikipedia.org/wiki/Carr%C3%A9_Frais,Vache,Carre_Frais.jpg,persilée,vin blanc moelleux
Mayenne,Cathare,http://fr.wikipedia.org/wiki/Cathare_%28marque%29,Chèvre,Cathare.JPG,molle ,vin blanc équilibré
Manche,Ch'ti Crémeux,http://fr.wikipedia.org/wiki/Ch%27ti_Cr%C3%A9meux,Vache,Chti_Cremeux.jpg,molle croute fleurie,vin rouge léger
Orne,Chambérat,http://fr.wikipedia.org/wiki/Chamb%C3%A9rat_%28fromage%29,Vache,Chamberat.jpg,molle croute lavée,vin blanc moelleux
Allier,Chandamour,http://fr.wikipedia.org/wiki/Chandamour,Vache,Chandamour.jpg,molle croute fleurie,vin rouge léger
Calvados,Chaource,http://fr.wikipedia.org/wiki/Chaource_%28fromage%29,Vache,Chaource.jpg,molle croute fleurie,vin rouge léger
Haute-Loire,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Chèvre,Charolais.jpg,molle croute naturelle,vin rouge léger
Réunion,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Chèvre,Charolais.jpg,molle croute naturelle,vin rouge léger
Savoie,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Chèvre,Charolais.jpg,molle croute naturelle,vin rouge léger
Dordogne,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Chèvre,Charolais.jpg,molle croute naturelle,vin rouge léger
Puy-de-Dôme,Chaumes,http://fr.wikipedia.org/wiki/Chaumes,Vache,Chaumes.jpg,molle,vin blanc équilibré
Cher,Chaussée aux moines,http://fr.wikipedia.org/wiki/Chauss%C3%A9e_aux_moines,Vache,Chaussee_aux_Moines.JPG,préssée non cuite,vin rouge charnu
Loire-Atlantique,Chaussée aux moines,http://fr.wikipedia.org/wiki/Chauss%C3%A9e_aux_moines,Vache,Chaussee_aux_Moines.JPG,préssée non cuite,vin rouge charnu
Loire-Atlantique,Chavroux,http://fr.wikipedia.org/wiki/Chavroux,Chèvre,Chavroux.jpg,fraiche,vin blanc sec
Haute-Corse,Chécy,http://fr.wikipedia.org/wiki/Ch%C3%A9cy_%28fromage%29,Vache,Checy.jpg,molle croute naturelle,vin rouge léger
Hérault,Chevret,http://fr.wikipedia.org/wiki/Chevret,Chèvre,Chevret.jpg,molle,vin blanc équilibré
Loiret,Chevret du Haut-Jura,http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura,Vache,Chevret_du_Haut_Jura.JPG,molle croute fleurie,vin rouge léger
Puy-de-Dôme,Chevret du Haut-Jura,http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura,Vache,Chevret_du_Haut_Jura.JPG,molle croute fleurie,vin rouge léger
Rhône,Chèvreton,http://fr.wikipedia.org/wiki/Ch%C3%A8vreton,Chèvre,Chevreton.jpg,molle croute fleurie,vin rouge léger
Seine-Maritime,Chèvreton,http://fr.wikipedia.org/wiki/Ch%C3%A8vreton,Chèvre,Chevreton.jpg,molle croute fleurie,vin rouge léger
Haute-Loire,Chevrotin,http://fr.wikipedia.org/wiki/Chevrotin,Chèvre,Chevretin.jpg,préssée non cuite,vin rouge charnu
Seine-et-Marne,Clon,http://fr.wikipedia.org/wiki/Clon,Vache,Clon.jpg,caillé,vin rouge
Loire,Comté,http://fr.wikipedia.org/wiki/Comt%C3%A9_%28fromage%29,Vache,Comte.jpg,pressée cuite,vin blanc gras
Aveyron,Corsica,http://fr.wikipedia.org/wiki/Corsica_%28marque%29,Brebis,Corsica.jpg,molle croute naturelle,vin rouge léger
Cher,Coulommiers,http://fr.wikipedia.org/wiki/Coulommiers_%28fromage%29,Vache,Coulommiers.jpg,molle croute fleurie,vin rouge léger
Orne,Couronne Lochoise,http://fr.wikipedia.org/wiki/Couronne_Lochoise,Chèvre,Couronne_Lochoise.jpg,molle croute fleurie,vin rouge léger
Charente-Maritime,Cousteron,http://fr.wikipedia.org/wiki/Cousteron,Vache,Cousteron.jpg,préssée non cuite,vin rouge charnu
Savoie,Coutances,http://fr.wikipedia.org/wiki/Coutances_%28marque%29,Vache,Coutances.jpg,molle croute fleurie,vin rouge léger
Vosges,Crémet du Cap Blanc Nez,http://fr.wikipedia.org/wiki/Cr%C3%A9met_du_Cap_Blanc_Nez,Vache,Cremet_du_Cap_Blanc_Nez.jpg,molle croute lavée,vin blanc moelleux
Aveyron,Crottin de Chavignol,http://fr.wikipedia.org/wiki/Crottin_de_Chavignol,Chèvre,Crottin_de_Chavignol.jpg,molle,vin blanc équilibré
Dordogne,Crottin de Chavignol,http://fr.wikipedia.org/wiki/Crottin_de_Chavignol,Chèvre,Crottin_de_Chavignol.jpg,molle,vin blanc équilibré
Eure,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,Vache,Dauphin.jpg,molle croute lavée,vin blanc moelleux
Hautes-Alpes,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,Vache,Dauphin.jpg,molle croute lavée,vin blanc moelleux
Réunion,Délice de la Sicalait,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_la_Sicalait,Vache,Délice_de_la_Sicalait.jpg,molle,vin blanc équilibré
Savoie,Délice de Saint-Cyr,http://fr.wikipedia.org/wiki/D%C3%A9lice_de_Saint-Cyr,Vache,Delice_de_Saint_Cyr.jpg,molle,vin blanc équilibré
Savoie,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,Vache,Emmental_de_Savoie.jpg,caillé,vin rouge
Loir-et-Cher,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,Vache,Emmental_de_Savoie.jpg,caillé,vin rouge
Nord,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,Vache,Epoisses.jpg,molle croute lavée,vin blanc moelleux
Ain,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,Vache,Epoisses.jpg,molle croute lavée,vin blanc moelleux
Seine-et-Marne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,Vache,Epoisses.jpg,molle croute lavée,vin blanc moelleux
Lot,Etorki,http://fr.wikipedia.org/wiki/Etorki,Brebis,Etorki.jpg,préssée non cuite,vin rouge charnu
Ain,Faisselle,http://fr.wikipedia.org/wiki/Faisselle,Vache,Faisselle.jpg,fraiche,vin blanc sec
Haute-Saône,Fontainebleau,http://fr.wikipedia.org/wiki/Fontainebleau_%28dessert%29,Vache,Fontainebleau.jpg,caillé,vin rouge
Loire-Atlantique,Fort de Béthune,http://fr.wikipedia.org/wiki/Fort_de_B%C3%A9thune,Vache,Fort_de_Bethune.jpg,fondue,vin blanc vif
Puy-de-Dôme,Foudjou,http://fr.wikipedia.org/wiki/Foudjou,Chèvre,Foudjou.jpg,fondue,vin blanc vif
Savoie,Fourmagée,http://fr.wikipedia.org/wiki/Fourmag%C3%A9e,Vache,Fourmagee.jpg,fondue,vin blanc vif
Saône-et-Loire,Fourme d'Ambert,http://fr.wikipedia.org/wiki/Fourme_d%27Ambert,Vache,Fourme_dAmbert.jpg,persilée,vin blanc moelleux
Seine-et-Marne,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,Vache,Fourme_de_Montbrison.jpg,persilée,vin blanc moelleux
Cantal,Fourme de Montbrison,http://fr.wikipedia.org/wiki/Fourme_de_Montbrison,Vache,Fourme_de_Montbrison.jpg,persilée,vin blanc moelleux
Savoie,Fourme de Rochefort-Montagne,http://fr.wikipedia.org/wiki/Fourme_de_Rochefort-Montagne,Vache,Fourme_de_RochefortMontagne.jpg,persilée,vin blanc moelleux
Haute-Marne,Frinault,http://fr.wikipedia.org/wiki/Frinault,Vache,Frinault.jpg,molle croute naturelle,vin rouge léger
Ain,Fromage aux artisons,http://fr.wikipedia.org/wiki/Fromage_aux_artisons,Vache,Fromage_aux_Artisous.JPG,molle,vin blanc équilibré
Aveyron,Fromage aux noix,http://fr.wikipedia.org/wiki/Fromage_aux_noix,Vache,Fromage_aux_Noix.JPG,fondue,vin blanc vif
Jura,Fromage de Pays,http://fr.wikipedia.org/wiki/Fromage_de_Pays,Vache,Fromage_de_Pays.jpg,persilée,vin blanc moelleux
Orne,Fromage des Plaines,http://fr.wikipedia.org/wiki/Fromage_des_Plaines,Vache,Fromage_des_Plaines.png,fraiche,vin blanc sec
Pas-de-Calais,Fromager d'Affinois,http://fr.wikipedia.org/wiki/Fromager_d%27Affinois,Vache,Fromager_dAffinois.jpg,molle,vin blanc équilibré
Pyrénées-Atlantiques,Gabriel Coulet,http://fr.wikipedia.org/wiki/Gabriel_Coulet_%28marque%29,Brebis,Gabriel_Coulet.jpg,persilée,vin blanc moelleux
Seine-Maritime,Gaperon,http://fr.wikipedia.org/wiki/Gaperon,Vache,Gaperon.jpg,molle croute fleurie,vin rouge léger
Haute-Loire,Gaztanbera,http://fr.wikipedia.org/wiki/Gaztanbera,Brebis,Gaztanbera.jpg,fraiche,vin blanc sec
Drôme,Gourmelin,http://fr.wikipedia.org/wiki/Gourmelin_%28fromage%29,Vache,Gourmelin.JPG,molle croute lavée,vin blanc moelleux
Nord,Grand tomachon,http://fr.wikipedia.org/wiki/Grand_tomachon,Vache,Grand_Tomachon.jpg,pressée non cuite,vin rouge charnu
Cantal,Grataron du Beaufortain,http://fr.wikipedia.org/wiki/Grataron_du_Beaufortain,Chèvre,Grataron_du_Beaufortain.jpg,molle croute lavée,vin blanc moelleux
Nord,Gratte-Paille,http://fr.wikipedia.org/wiki/Gratte-Paille,Vache,GrattePaille.jpg,molle croute fleurie,vin rouge léger
Nord,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Loire,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Puy-de-Dôme,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Loiret,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Sarthe,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Aude,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Aude,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Seine-et-Marne,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Drôme,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Isère,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Pyrénées-Atlantiques,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Vache,Gruyere_Francais.jpg,pressée cuite,vin blanc gras
Calvados,Jonchée,http://fr.wikipedia.org/wiki/Jonch%C3%A9e_%28fromage%29,Vache,Jonchee.jpg,fraiche,vin blanc sec
Corrèze,Kaïkou,http://fr.wikipedia.org/wiki/Ka%C3%AFkou,Brebis,Kaikou.jpg,pressée cuite,vin blanc gras
Côte-d'Or,Kiri,http://fr.wikipedia.org/wiki/Kiri_%28marque%29,Vache,Kiri.jpg,fondue,vin blanc vif
Aisne,L'Ami du Chambertin,http://fr.wikipedia.org/wiki/L%27Ami_du_Chambertin,Vache,lAmi_du_Chambertin.jpg,molle croute lavée,vin blanc moelleux
Ardèche,La Fournaise,http://fr.wikipedia.org/wiki/La_Fournaise_%28fromage%29,Vache,la_Fournaise.jpg,préssée non cuite,vin rouge charnu
Nord,La Petite Raclette,http://fr.wikipedia.org/wiki/La_Petite_Raclette,Vache,la_Petite_Raclette.jpg,préssée non cuite,vin rouge charnu
Hautes-Alpes,La Pierre Dorée,http://fr.wikipedia.org/wiki/La_Pierre_Dor%C3%A9e,Chèvre,la_Pierre_Doree.jpg,molle croute fleurie,vin rouge léger
Lozère,La Vache qui rit,http://fr.wikipedia.org/wiki/La_Vache_qui_rit,Vache,la_Vache_qui_Rit.jpg,fondue,vin blanc vif
Pas-de-Calais,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,Vache,Laguiole.jpg,préssée non cuite,vin rouge charnu
Pas-de-Calais,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,Vache,Laguiole.jpg,préssée non cuite,vin rouge charnu
Ain,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,Vache,Laguiole.jpg,préssée non cuite,vin rouge charnu
Haute-Marne,Langres,http://fr.wikipedia.org/wiki/Langres_%28fromage%29,Vache,Laguiole.jpg,préssée non cuite,vin rouge charnu
Moselle,Larron d'Ors,http://fr.wikipedia.org/wiki/Larron_d%27Ors,Vache,Larron_dOrs.jpg,molle croute lavée,vin blanc moelleux
Savoie,Le Bleu des Basques,http://fr.wikipedia.org/wiki/Le_Bleu_des_Basques,Brebis,le_Bleu_des_Basques.png,persilée,vin blanc moelleux
Hautes-Pyrénées,Le Brebiou,http://fr.wikipedia.org/wiki/Le_Brebiou,Brebis,le_Brebiou.jpg,molle croute naturelle,vin rouge léger
Lozère,Le Coucouron,http://fr.wikipedia.org/wiki/Le_Coucouron,Vache,Le_Coucouron.jpg,persilée,vin blanc moelleux
Savoie,Le Curé Nantais,http://fr.wikipedia.org/wiki/Le_Cur%C3%A9_Nantais,Vache,le_Cure_Nantais.JPG,molle croûte lavée,vin blanc moelleux
Haute-Loire,Le Délice du Chalet,http://fr.wikipedia.org/wiki/Le_D%C3%A9lice_du_Chalet,Vache,le_Delice_du_Chalet.jpg,préssée non cuite,vin rouge charnu
Cantal,Le Fédou,http://fr.wikipedia.org/wiki/Le_F%C3%A9dou,Brebis,le_Fedou.jpg,molle croute fleurie,vin rouge léger
Haute-Corse,Le Graval,http://fr.wikipedia.org/wiki/Le_Graval,Vache,le_Graval.jpg,molle croute naturelle,vin rouge léger
Loire-Atlantique,Le Lavort,http://fr.wikipedia.org/wiki/Le_Lavort,Brebis,le_Lavort.jpg,préssée non cuite,vin rouge charnu
Loiret,Le Moulis,http://fr.wikipedia.org/wiki/Le_Moulis,Brebis,le_Moulis.jpg,préssée non cuite,vin rouge charnu
